n_src,n_src_per_leaf,eps,L,depth,potential_dmk,potential_ewald,error,relative_error
1000,100,0.001,1.70998,4,-41.3469,-41.3478,0.000826542,1.99904e-05
2000,100,0.001,2.15443,4,19.8996,19.9007,0.00108264,5.4405e-05
4000,100,0.001,2.71442,4,-37.9982,-37.999,0.000884422,2.32754e-05
8000,100,0.001,3.41995,5,-20.6835,-20.6811,0.00237072,0.000114619
16000,100,0.001,4.30887,5,17.615,17.6131,0.00192303,0.00010917
32000,100,0.001,5.42884,5,-48.3286,-48.3275,0.001137,2.35264e-05
64000,100,0.001,6.8399,6,-4.58054,-4.57792,0.00261682,0.00057129
128000,100,0.001,8.61774,6,-73.8928,-73.8939,0.00107625,1.4565e-05
