n_src,n_src_per_leaf,eps,L,depth,ts,tu,tt
10000,500,0.001,3.68403,4,6.22115e-05,2.68919e-06,6.49007e-05
80000,500,0.001,7.36806,5,0.000655507,2.51541e-05,0.000680662
640000,500,0.001,14.7361,6,0.00117207,2.95172e-05,0.00120158
5120000,500,0.001,29.4723,7,0.00185242,8.85883e-05,0.00194101
40960000,500,0.001,58.9445,8,0.00278056,0.000466449,0.00324701
