n_src,n_src_per_leaf,eps,L,time_planewave,time_window,time_difference,time_residual,time_total
4000,200,0.0001,15.874,2.05147,0.000672879,6.62e-07,0.156746,2.20889
8000,200,0.0001,20,3.80053,0.000649144,9.61e-07,0.675485,4.47666
16000,200,0.0001,25.1984,32.1314,0.000728584,7.01636,0.327611,39.4761
