n_src,n_src_per_leaf,eps,L,depth,time_planewave,time_window,time_difference,time_residual,time_total
10000,500,0.001,3.68403,4,0.000208793,2.57026e-05,1.087e-07,0.000271605,0.00050621
80000,500,0.001,7.36806,5,0.000885687,3.23159e-05,0.00372081,0.000313651,0.00495246
640000,500,0.001,14.7361,6,0.000995948,2.82219e-05,0.00609961,0.000252256,0.00737604
5120000,500,0.001,29.4723,7,0.0017415,3.26967e-05,0.0102125,0.000331838,0.0123185
40960000,500,0.001,58.9445,8,0.00238336,3.36348e-05,0.0141911,0.000309598,0.0169177
