n_src,L,s,alpha,time_total
10000,3.68403,3,2.03581,0.000680305
40000,5.84804,3,1.28248,0.00126584
160000,9.28318,3,0.807913,0.00251604
640000,14.7361,3,0.508953,0.00594893
2560000,23.3921,3,0.32062,0.0223057
10240000,37.1327,3,0.492315,0.0409482
40960000,58.9445,3,0.390751,0.0777093
