n_src,n_src_per_leaf,eps,L,depth,abserr_dmk,abserr_ewald,relerr_dmk,relerr_ewald
10000,500,0.001,3.68403,4,0.00109448,0.00339505,7.19524e-05,0.000195992
20000,500,0.001,4.64159,4,0.00139808,0.00292188,6.47079e-05,0.000177718
40000,500,0.001,5.84804,5,0.00251663,0.00420833,0.000149359,0.000295986
80000,500,0.001,7.36806,5,0.00301769,0.00579441,0.000721875,0.00142978
160000,500,0.001,9.28318,5,0.00265813,0.00542676,0.000259405,0.000650854
320000,500,0.001,11.6961,6,0.00339432,0.00438849,0.000124558,0.000161106
