n_src,n_src_per_leaf,eps,L,depth,time_planewave,time_window,time_difference,time_residual,time_total
1000,100,0.001,1.70998,4,0.000272026,2.99412e-05,9.639e-08,0.00026477,0.000566834
2000,100,0.001,2.15443,4,0.000269148,2.91875e-05,9.811e-08,0.000274018,0.000572452
4000,100,0.001,2.71442,4,0.000272484,3.06142e-05,9.813e-08,0.000273554,0.00057675
8000,100,0.001,3.41995,5,0.000516744,2.16085e-05,0.00207212,0.000203114,0.00281359
16000,100,0.001,4.30887,5,0.000549567,2.06931e-05,0.00224194,0.00021245,0.00302465
32000,100,0.001,5.42884,5,0.000556094,2.0733e-05,0.00227416,0.000216572,0.00306756
64000,100,0.001,6.8399,6,0.00134486,2.94637e-05,0.00671031,0.000253828,0.00833846
128000,100,0.001,8.61774,6,0.00136967,2.53451e-05,0.00609575,0.000248744,0.00773951
256000,100,0.001,10.8577,6,0.00109992,2.38096e-05,0.00516008,0.000258642,0.00654246
