n_src,n_src_per_leaf,eps,L,depth,time_planewave,time_window,time_difference,time_residual,time_total
10000,500,0.001,3.68403,4,4.07339e-06,4.91763e-06,2.609e-08,3.74822e-05,4.64993e-05
80000,500,0.001,7.36806,5,1.73609e-05,5.23142e-06,0.000758418,4.15653e-05,0.000822576
640000,500,0.001,14.7361,6,3.10017e-05,5.20413e-06,0.00178496,4.86998e-05,0.00186987
5120000,500,0.001,29.4723,7,4.56567e-05,5.72467e-06,0.00285774,4.94466e-05,0.00295857
40960000,500,0.001,58.9445,8,6.20227e-05,6.68327e-06,0.00386741,5.0159e-05,0.00398627
