n_src,n_src_per_leaf,eps,L,time_planewave,time_window,time_difference,time_residual,time_total
4000,200,0.0001,15.874,2.05147,0.000672879,6.62e-07,0.156746,2.20889
8000,200,0.0001,20,3.80053,0.000649144,9.61e-07,0.675485,4.47666
16000,200,0.0001,25.1984,32.1314,0.000728584,7.01636,0.327611,39.4761
10000,100,0.0001,21.5443,0.00100957,5.1028e-05,0.0093462,0.000181148,0.0105879
20000,100,0.0001,27.1442,0.00102595,5.28916e-05,0.00931313,0.000185556,0.0105775
40000,100,0.0001,34.1995,0.00111928,7.72976e-05,0.0152196,0.000211724,0.0166279
