n_src,n_src_per_leaf,eps,L,time_outgoing_pw,time_incoming_pw,time_window,time_difference,time_residual,time_total
4000,100,0.001,15.874,0.0166774,8.459e-06,4.912e-06,4.132e-06,0.0589792,0.0756741
8000,100,0.001,20,0.0181313,0.000750458,1.068e-06,2.9573e-05,0.0346384,0.0535507
16000,100,0.001,25.1984,0.0189257,0.000744503,1.002e-06,4.2333e-05,0.12237,0.142083
32000,100,0.001,31.748,0.0423689,0.000821337,2.63e-06,9.0379e-05,0.471074,0.514357
64000,100,0.001,40,0.0799073,0.00577786,2.109e-06,0.000626952,0.266144,0.352458
128000,100,0.001,50.3968,0.150697,0.00588236,1.623e-06,0.000842837,0.97952,1.13694
256000,100,0.001,63.496,1.27971,0.00633496,3.488e-06,0.00151921,3.7769,5.06447
512000,100,0.001,80,2.68514,0.0536122,1.0186e-05,0.0144931,2.19714,4.95039
1024000,100,0.001,100.794,3.2836,0.0576932,1.186e-05,0.0236394,7.84839,11.2133
