n_src,L,s,alpha,time_total
10000,3.68403,2.5,1.3025,0.000104319
40000,5.84804,2.5,1.0338,0.000208352
160000,9.28318,2.5,0.820525,0.000420642
640000,14.7361,2.5,0.651251,0.00107348
2560000,23.3921,2.5,0.516898,0.00399784
10240000,37.1327,2.5,0.410262,0.00982153
40960000,58.9445,2.5,0.325625,0.0214512
